name,frequency
Elize,49.0
Isa,49.0
Mira,49.0
Nel,49.0
Bo,48.0
Elodie,48.0
Merel,48.0
Pauline,48.0
Jana,47.0
Nell,47.0
Nour,47.0
Loes,46.0
Margot,46.0
Maxine,46.0
Alixe,45.0
Ines,45.0
Marwa,45.0
Cilou,44.0
Jeanne,44.0
Marthe,44.0
Yasmine,44.0
Ada,43.0
Alexia,43.0
Fatima,43.0
Lana,43.0
Lucy,43.0
Robin,43.0
Florence,42.0
Lilou,42.0
Naomi,42.0
Alizée,41.0
Babette,41.0
Eloïse,41.0
Feline,41.0
Lili,41.0
Maya,41.0
Fenna,40.0
Floor,40.0
Frances,40.0
Léonie,40.0
Martha,40.0
Nova,40.0
Ida,39.0
Isra,39.0
Maud,39.0
Margaux,38.0
Nelle,38.0
Noé,38.0
Manou,37.0
Zeynep,37.0
Amy,36.0
Emilie,36.0
Esmee,36.0
Lilly,36.0
Liz,36.0
Sterre,36.0
Valentina,36.0
Dina,35.0
Elle,35.0
Lola,35.0
Lynn,35.0
Paulien,35.0
Mare,34.0
Alina,33.0
Colette,33.0
Amalia,32.0
Ariana,32.0
Cézanne,32.0
Eliana,32.0
Faye,32.0
Hafsa,32.0
Livia,32.0
Ona,32.0
Roxanne,31.0
Aurora,30.0
Sophie,30.0
Charlie,29.0
Chloë,29.0
Elina,29.0
Hazel,29.0
Isolde,29.0
Liene,29.0
Lise,29.0
Léa,29.0
Malak,29.0
Maysa,29.0
Millie,29.0
Mina,29.0
Sena,29.0
Céline,28.0
Enora,28.0
Giulia,28.0
Hajar,28.0
Lieze,28.0
Mariam,28.0
Minne,28.0
Mirthe,28.0
Sien,28.0
Sofie,28.0
Alyssa,27.0
Anissa,27.0
Annabelle,27.0
Azra,27.0
Estée,27.0
Iris,27.0
Liana,27.0
Rosanne,27.0
Alessia,26.0
Eloise,26.0
Eléonore,26.0
Fay,26.0
Femke,26.0
Juna,26.0
Liya,26.0
Nisa,26.0
Alexis,25.0
Annabel,25.0
Esther,25.0
Hidaya,25.0
Jolien,25.0
Klara,25.0
Niene,25.0
Rose,25.0
Safiya,25.0
Abigail,24.0
Alya,24.0
Arya,24.0
Ayla,24.0
Elisabeth,24.0
Finne,24.0
Kaat,24.0
